kommunenummer,navn,år,befolkning,latitude,longitude,fylke_navn_2019,fylke_navn_2020
0631,Flesberg,2019,2694,59.84756239997716,9.493056763783098,BUSKERUD,VIKEN
0632,Rollag,2019,1419,60.0108559244798,9.217744219161949,BUSKERUD,VIKEN
0633,Nore og Uvdal,2019,2448,60.27648449191097,8.448771669543694,BUSKERUD,VIKEN
0701,Horten,2019,27334,59.402121704343394,10.417550284532437,VESTFOLD,VIKEN
0701,Horten,2019,27334,59.402121704343394,10.417550284532437,VESTFOLD,VESTFOLD OG TELEMARK
0704,Tønsberg,2019,45976,59.29917713578668,10.406136378604154,VESTFOLD,VIKEN
0704,Tønsberg,2019,45976,59.29917713578668,10.406136378604154,VESTFOLD,VESTFOLD OG TELEMARK
0710,Sandefjord,2019,63271,59.237823733857695,10.179560056984933,VESTFOLD,VIKEN
0710,Sandefjord,2019,63271,59.237823733857695,10.179560056984933,VESTFOLD,VESTFOLD OG TELEMARK
0711,Svelvik,2019,6685,59.61851256509959,10.36269021541212,VESTFOLD,VIKEN
0711,Svelvik,2019,6685,59.61851256509959,10.36269021541212,VESTFOLD,VESTFOLD OG TELEMARK
0712,Larvik,2019,47107,59.21217074829682,9.959908727590625,VESTFOLD,VIKEN
0712,Larvik,2019,47107,59.21217074829682,9.959908727590625,VESTFOLD,VESTFOLD OG TELEMARK
0713,Sande,2019,9904,59.60976479414253,10.221972998009708,VESTFOLD,VIKEN
0713,Sande,2019,9904,59.60976479414253,10.221972998009708,VESTFOLD,VESTFOLD OG TELEMARK
0715,Holmestrand,2019,14371,59.53656615253476,10.111549145774056,VESTFOLD,VIKEN
0715,Holmestrand,2019,14371,59.53656615253476,10.111549145774056,VESTFOLD,VESTFOLD OG TELEMARK
0716,Re,2019,9730,59.398029081192135,10.23401778296068,VESTFOLD,VIKEN
0716,Re,2019,9730,59.398029081192135,10.23401778296068,VESTFOLD,VESTFOLD OG TELEMARK
0729,Færder,2019,26700,59.17419428299533,10.408343183222643,VESTFOLD,VIKEN
0729,Færder,2019,26700,59.17419428299533,10.408343183222643,VESTFOLD,VESTFOLD OG TELEMARK
0805,Porsgrunn,2019,36224,59.12235110453668,9.757364726863381,TELEMARK,VESTFOLD OG TELEMARK
0806,Skien,2019,54645,59.25452576978743,9.485127330581694,TELEMARK,VESTFOLD OG TELEMARK
0807,Notodden,2019,12682,59.66233576652903,9.133478429031424,TELEMARK,VESTFOLD OG TELEMARK
0811,Siljan,2019,2329,59.31004568047606,9.725093155854026,TELEMARK,VESTFOLD OG TELEMARK
0814,Bamble,2019,14089,59.01328993783688,9.531125964181548,TELEMARK,VESTFOLD OG TELEMARK
0815,Kragerø,2019,10406,58.88188217025787,9.321568089663343,TELEMARK,VESTFOLD OG TELEMARK
0817,Drangedal,2019,4080,59.10026600362431,8.977607519990798,TELEMARK,VESTFOLD OG TELEMARK
0819,Nome,2019,6538,59.27531637156051,9.12435219543085,TELEMARK,VESTFOLD OG TELEMARK
0821,Bø,2019,6630,59.441592867273386,9.007369735207662,TELEMARK,VESTFOLD OG TELEMARK
0822,Sauherad,2019,4293,59.436878343335295,9.296509643348111,TELEMARK,VESTFOLD OG TELEMARK
0826,Tinn,2019,5780,59.99719068400942,8.563487055714946,TELEMARK,VESTFOLD OG TELEMARK
0827,Hjartdal,2019,1572,59.700712881988565,8.706492346069858,TELEMARK,VESTFOLD OG TELEMARK
0828,Seljord,2019,2934,59.56560592902755,8.534117151272545,TELEMARK,VESTFOLD OG TELEMARK
0829,Kviteseid,2019,2403,59.36986610797326,8.491434950949156,TELEMARK,VESTFOLD OG TELEMARK
0830,Nissedal,2019,1476,59.05996057729917,8.541609946056587,TELEMARK,VESTFOLD OG TELEMARK
0831,Fyresdal,2019,1286,59.16110817718801,8.055917053938538,TELEMARK,VESTFOLD OG TELEMARK
0833,Tokke,2019,2228,59.46220264839565,7.911385248540476,TELEMARK,VESTFOLD OG TELEMARK
0834,Vinje,2019,3723,59.822168028168335,7.729049299965842,TELEMARK,VESTFOLD OG TELEMARK
0901,Risør,2019,6848,58.74224895852064,9.151484747684941,AUST-AGDER,AGDER
0904,Grimstad,2019,23246,58.376031475475706,8.487853776622625,AUST-AGDER,AGDER
0906,Arendal,2019,44785,58.4894898549512,8.75676535756074,AUST-AGDER,AGDER
0911,Gjerstad,2019,2454,58.88895266634227,8.978520195755797,AUST-AGDER,AGDER
0912,Vegårshei,2019,2093,58.75886538082259,8.824383991688848,AUST-AGDER,AGDER
0914,Tvedestrand,2019,6069,58.635371190553066,8.931945978567828,AUST-AGDER,AGDER
0919,Froland,2019,5845,58.59792892114242,8.416126702168889,AUST-AGDER,AGDER
0926,Lillesand,2019,10990,58.239193123312226,8.298038826196828,AUST-AGDER,AGDER
0928,Birkenes,2019,5212,58.44802965509356,8.195558746824478,AUST-AGDER,AGDER
0929,Åmli,2019,1848,58.80429528749014,8.33979340599851,AUST-AGDER,AGDER
0935,Iveland,2019,1326,58.43712660031581,7.9429399996732855,AUST-AGDER,AGDER
0937,Evje og Hornnes,2019,3638,58.581008339434135,7.7648862787256245,AUST-AGDER,AGDER
0938,Bygland,2019,1192,58.884297666962084,7.658282706350404,AUST-AGDER,AGDER
0940,Valle,2019,1156,59.1647983655687,7.431671468075875,AUST-AGDER,AGDER
0941,Bykle,2019,953,59.4380572180312,7.204372543488752,AUST-AGDER,AGDER
1001,Kristiansand,2019,92282,58.19288550554617,8.032095034965648,VEST-AGDER,AGDER
1002,Mandal,2019,15659,58.067644745196354,7.513867146788037,VEST-AGDER,AGDER
1003,Farsund,2019,9695,58.136232904396955,6.771749817062995,VEST-AGDER,AGDER
1004,Flekkefjord,2019,9066,58.37546596071804,6.695557610865553,VEST-AGDER,AGDER
1014,Vennesla,2019,14630,58.33123834446589,7.829551122200286,VEST-AGDER,AGDER
1017,Songdalen,2019,6706,58.23654358278229,7.720549325569957,VEST-AGDER,AGDER
1018,Søgne,2019,11403,58.10409170624703,7.740622035382561,VEST-AGDER,AGDER
